"","ID","Scenario","hy.share"
"1077","77","S2",0.81
"1078","78","S2",0.92
"1079","79","S2",1.14
"1080","80","S2",0.96
"1081","81","S2",0.87
"1082","82","S2",0.94
"1083","83","S2",0.97
"1084","84","S2",0.95
"1085","85","S2",1.06
"1086","86","S2",0.96
"1087","87","S2",1.03
"1088","88","S2",0.91
"1089","89","S2",0.96
"1090","90","S2",0.87
"1091","91","S2",0.94
"1092","92","S2",1.12
"1093","93","S2",0.99
"1094","94","S2",1.07
"1095","95","S2",1.04
"1096","96","S2",1.01
"1097","97","S2",0.9
"1098","98","S2",1.13
"1099","99","S2",1.03
"1100","100","S2",0.89
"1101","101","S2",0.93
"1102","102","S2",0.87
"1103","103","S2",1.01
"1104","104","S2",1
"1105","105","S2",1.09
"1106","106","S2",0.89
"1107","107","S2",0.99
"1108","108","S2",0.84
"1109","109","S2",1.01
"1110","110","S2",1.09
"1111","111","S2",0.91
"1112","112","S2",0.97
"1113","113","S2",0.84
"1114","114","S2",0.9
"1115","115","S2",0.82
"1116","116","S2",0.78
"1117","117","S2",1.12
"1118","118","S2",0.89
"1119","119","S2",0.94
"1120","120","S2",1
"1121","121","S2",1.16
"1122","122","S2",0.89
"1123","123","S2",0.9
"1124","124","S2",0.92
"1125","125","S2",1.02
"1126","126","S2",1.04
"1127","127","S2",0.82
"1128","128","S2",1.04
"1129","129","S2",0.99
"1130","130","S2",1
"1131","131","S2",1.17
"1132","132","S2",1.12
"1133","133","S2",0.98
"1134","134","S2",1.16
"1135","135","S2",0.85
"1136","136","S2",0.92
"1137","137","S2",0.86
"1138","138","S2",1.05
"1139","139","S2",0.87
"1140","140","S2",1.02
"1141","141","S2",0.7
"1142","142","S2",0.99
"1143","143","S2",0.96
"1144","144","S2",0.97
"1145","145","S2",0.83
"1146","146","S2",0.88
"1147","147","S2",0.93
"1148","148","S2",1.05
"1149","149","S2",1.07
"1150","150","S2",1.04
"1151","151","S2",0.89
"1152","152","S2",1.12
"1153","153","S2",0.92
"1154","154","S2",0.94
"1155","155","S2",0.96
"1156","156","S2",0.88
"1157","157","S2",0.92
"1158","158","S2",0.91
"1159","159","S2",0.98
"1160","160","S2",1.11
"1161","161","S2",0.94
"1162","162","S2",0.89
"1163","163","S2",1.08
"1164","164","S2",0.91
"1165","165","S2",0.95
"1166","166","S2",1.05
"1167","167","S2",0.97
"1168","168","S2",1.04
"1169","169","S2",1.01
"1170","170","S2",0.91
"1171","171","S2",1.1
"1172","172","S2",1.03
"1173","173","S2",1.1
"1174","174","S2",0.97
"1175","175","S2",1.01
"1176","176","S2",0.95
"1177","177","S2",1.04
"1178","178","S2",0.99
"1179","179","S2",0.98
"1180","180","S2",0.85
"1181","181","S2",1.07
"1182","182","S2",0.93
"1183","183","S2",0.88
"1184","184","S2",0.98
"1185","185","S2",1.2
"1186","186","S2",0.96
"1187","187","S2",0.97
"1188","188","S2",1.05
"1189","189","S2",0.91
"1190","190","S2",1.15
"1191","191","S2",0.95
"1192","192","S2",1.06
"1193","193","S2",0.81
"1194","194","S2",0.91
"1195","195","S2",1.01
"1196","196","S2",1.06
"1197","197","S2",0.88
"1198","198","S2",1.07
"1199","199","S2",0.93
"1200","200","S2",1.11
"1201","201","S2",0.96
"1202","202","S2",0.88
"1203","203","S2",0.94
"1204","204","S2",1.03
"1205","205","S2",1
"1206","206","S2",1.24
"1207","207","S2",0.97
"1208","208","S2",0.75
"1209","209","S2",0.98
"1210","210","S2",1.02
"1211","211","S2",0.74
"1212","212","S2",0.78
"1213","213","S2",1.08
"1214","214","S2",1.04
"1215","215","S2",0.94
"1216","216","S2",0.83
"1217","217","S2",0.9
"1218","218","S2",0.96
"1219","219","S2",0.95
"1220","220","S2",0.97
"1221","221","S2",1.01
"1222","222","S2",0.97
"1223","223","S2",1.16
"1224","224","S2",1
"1225","225","S2",0.74
"1226","226","S2",1.09
"1227","227","S2",1
"1228","228","S2",1.02
"1229","229","S2",0.99
"1230","230","S2",0.94
"1231","231","S2",0.93
"1232","232","S2",0.81
"1233","233","S2",0.89
"1234","234","S2",1.09
"1235","235","S2",0.98
"1236","236","S2",0.99
"1237","237","S2",0.99
"1238","238","S2",0.64
"1239","239","S2",0.96
"1240","240","S2",0.9
"1241","241","S2",1.06
"1242","242","S2",0.94
"1243","243","S2",1.07
"1244","244","S2",1.13
"1245","245","S2",0.87
"1246","246","S2",0.94
"1247","247","S2",0.96
"1248","248","S2",0.87
"1249","249","S2",1.03
"1250","250","S2",0.95
"1251","251","S2",1.03
"1252","252","S2",1.05
"1253","253","S2",1.07
"1254","254","S2",1.04
"1255","255","S2",1.02
"1256","256","S2",1.01
"1257","257","S2",0.98
"1258","258","S2",1.06
"1259","259","S2",0.95
"1260","260","S2",1.04
"1261","261","S2",0.95
"1262","262","S2",1.01
"1263","263","S2",1.01
"1264","264","S2",1.01
"1265","265","S2",0.84
"1266","266","S2",1.01
"1267","267","S2",0.95
"1268","268","S2",0.84
"1269","269","S2",1.13
"1270","270","S2",0.89
"1271","271","S2",0.93
"1272","272","S2",0.78
"1273","273","S2",0.79
"1274","274","S2",0.91
"1275","275","S2",0.9
"1276","276","S2",1.18
"1277","277","S2",0.9
"1278","278","S2",0.96
"1279","279","S2",0.95
"1280","280","S2",1.05
"1281","281","S2",1.05
"1282","282","S2",1.17
"1283","283","S2",0.94
"1284","284","S2",1.03
"1285","285","S2",1.02
"1286","286","S2",1.06
"1287","287","S2",0.8
"1288","288","S2",0.87
"1289","289","S2",1.07
"1290","290","S2",0.95
"1291","291","S2",0.79
"1292","292","S2",1.02
"1293","293","S2",0.92
"1294","294","S2",1.06
"1295","295","S2",0.96
"1296","296","S2",0.96
"1297","297","S2",0.94
"1298","298","S2",0.93
"1299","299","S2",1.14
"1300","300","S2",0.93
"1301","301","S2",1.07
"1302","302","S2",1.1
"1303","303","S2",0.95
"1304","304","S2",0.83
"1305","305","S2",0.95
"1306","306","S2",1.08
"1307","307","S2",0.93
"1308","308","S2",1.08
"1309","309","S2",0.92
"1310","310","S2",1.08
"1311","311","S2",1.06
"1312","312","S2",0.97
"1313","313","S2",1.01
"1314","314","S2",0.89
"1315","315","S2",0.87
"1316","316","S2",1.09
"1317","317","S2",1.04
"1318","318","S2",0.81
"1319","319","S2",0.81
"1320","320","S2",0.98
"1321","321","S2",0.78
"1322","322","S2",1.05
"1323","323","S2",0.87
"1324","324","S2",0.99
"1325","325","S2",1.05
"1326","326","S2",0.95
"1327","327","S2",1.01
"1328","328","S2",0.95
"1329","329","S2",1.06
"1330","330","S2",1.03
"1331","331","S2",0.83
"1332","332","S2",0.97
"1333","333","S2",0.87
"1334","334","S2",1.03
"1335","335","S2",1.06
"1336","336","S2",0.99
"1337","337","S2",1.01
"1338","338","S2",0.98
"1339","339","S2",0.94
"1340","340","S2",0.91
"1341","341","S2",0.92
"1342","342","S2",1.13
"1343","343","S2",0.84
"1344","344","S2",0.95
"1345","345","S2",0.92
"1346","346","S2",1.06
"1347","347","S2",0.9
"1348","348","S2",1.09
"1349","349","S2",0.96
"1350","350","S2",1.09
"1351","351","S2",1.04
"1352","352","S2",1.04
"1353","353","S2",1.09
"1354","354","S2",1.04
"1355","355","S2",1.08
"1356","356","S2",1.18
"1357","357","S2",0.99
"1358","358","S2",0.88
"1359","359","S2",0.95
"1360","360","S2",0.91
"1361","361","S2",1.2
"1362","362","S2",0.94
"1363","363","S2",0.86
"1364","364","S2",0.98
"1365","365","S2",0.72
"1366","366","S2",0.97
"1367","367","S2",1.07
"1368","368","S2",0.98
"1369","369","S2",1.07
"1370","370","S2",1.03
"1371","371","S2",1
"1372","372","S2",0.93
"1373","373","S2",1.02
"1374","374","S2",1.13
"1375","375","S2",1.09
"1376","376","S2",0.85
"1377","377","S2",0.97
"1378","378","S2",1.03
"1379","379","S2",1.04
"1380","380","S2",1.01
"1381","381","S2",0.85
"1382","382","S2",1.02
"1383","383","S2",1.1
"1384","384","S2",1.04
"1385","385","S2",0.98
"1386","386","S2",0.87
"1387","387","S2",0.86
"1388","388","S2",1
"1389","389","S2",1.02
"1390","390","S2",0.9
"1391","391","S2",0.97
"1392","392","S2",0.84
"1393","393","S2",0.96
"1394","394","S2",0.99
"1395","395","S2",1.02
"1396","396","S2",1
"1397","397","S2",0.93
"1398","398","S2",0.88
"1399","399","S2",0.96
"1400","400","S2",1.08
"1401","401","S2",0.97
"1402","402","S2",0.99
"1403","403","S2",1.01
"1404","404","S2",0.84
"1405","405","S2",1.11
"1406","406","S2",0.9
"1407","407","S2",0.91
"1408","408","S2",0.91
"1409","409","S2",1.07
"1410","410","S2",0.95
"1411","411","S2",0.85
"1412","412","S2",1.07
"1413","413","S2",1.03
"1414","414","S2",0.93
"1415","415","S2",1.14
"1416","416","S2",0.94
"1417","417","S2",0.91
"1418","418","S2",0.91
"1419","419","S2",0.86
"1420","420","S2",0.9
"1421","421","S2",0.99
"1422","422","S2",0.8
"1423","423","S2",1
"1424","424","S2",1.06
"1425","425","S2",1.08
"1426","426","S2",0.98
"1427","427","S2",0.78
"1428","428","S2",1.13
"1429","429","S2",0.88
"1430","430","S2",0.93
"1431","431","S2",1.12
"1432","432","S2",0.9
"1433","433","S2",1.1
"1434","434","S2",1.04
"1435","435","S2",1.01
"1436","436","S2",1.07
"1437","437","S2",0.85
"1438","438","S2",1.1
"1439","439","S2",0.93
"1440","440","S2",0.93
"1441","441","S2",0.93
"1442","442","S2",0.96
"1443","443","S2",1.11
"1444","444","S2",1
"1445","445","S2",1.15
"1446","446","S2",0.9
"1447","447","S2",0.98
"1448","448","S2",1.05
"1449","449","S2",1.21
"1450","450","S2",1.13
"1451","451","S2",1.14
"1452","452","S2",0.98
"1453","453","S2",1
"1454","454","S2",1.07
"1455","455","S2",0.86
"1456","456","S2",0.96
"1457","457","S2",1.15
"1458","458","S2",0.96
"1459","459","S2",0.73
"1460","460","S2",0.88
"1461","461","S2",0.99
"1462","462","S2",1.04
"1463","463","S2",0.94
"1464","464","S2",0.98
"1465","465","S2",1.03
"1466","466","S2",1
"1467","467","S2",0.91
"1468","468","S2",0.93
"1469","469","S2",0.83
"1470","470","S2",1.03
"1471","471","S2",1.03
"1472","472","S2",0.88
"1473","473","S2",1.04
"1474","474","S2",0.96
"1475","475","S2",1.07
"1476","476","S2",1.01
"1477","477","S2",1.15
"1478","478","S2",0.84
"1479","479","S2",0.95
"1480","480","S2",1.01
"1481","481","S2",1.21
"1482","482","S2",1.1
"1483","483","S2",1.07
"1484","484","S2",0.94
"1485","485","S2",1.04
"1486","486","S2",0.95
"1487","487","S2",0.88
"1488","488","S2",1.04
"1489","489","S2",0.99
"1490","490","S2",0.94
"1491","491","S2",0.93
"1492","492","S2",0.74
"1493","493","S2",1.1
"1494","494","S2",0.8
"1495","495","S2",0.95
"1496","496","S2",0.95
"1497","497","S2",0.91
"1498","498","S2",1.02
"1499","499","S2",1.08
"1500","500","S2",0.91
"1501","1","S3",1.04
"1502","2","S3",1.16
"1503","3","S3",1.09
"1504","4","S3",1.25
"1505","5","S3",1.08
"1506","6","S3",1.15
"1507","7","S3",1.17
"1508","8","S3",1.12
"1509","9","S3",1.25
"1510","10","S3",1.13
"1511","11","S3",1.25
"1512","12","S3",1.02
"1513","13","S3",1.11
"1514","14","S3",1.1
"1515","15","S3",1.12
"1516","16","S3",1.09
"1517","17","S3",1.12
"1518","18","S3",1.05
"1519","19","S3",1.12
"1520","20","S3",0.85
"1521","21","S3",1.07
"1522","22","S3",1.12
"1523","23","S3",1.29
"1524","24","S3",1.09
"1525","25","S3",1.12
"1526","26","S3",1.07
"1527","27","S3",1.15
"1528","28","S3",1.12
"1529","29","S3",1
"1530","30","S3",1.06
"1531","31","S3",1.16
"1532","32","S3",0.91
"1533","33","S3",1.17
"1534","34","S3",0.9
"1535","35","S3",1.07
"1536","36","S3",1.19
"1537","37","S3",1.25
"1538","38","S3",1.09
"1539","39","S3",1
"1540","40","S3",1.08
"1541","41","S3",1.07
"1542","42","S3",1.14
"1543","43","S3",1.22
"1544","44","S3",1.03
"1545","45","S3",1.21
"1546","46","S3",1.13
"1547","47","S3",1.03
"1548","48","S3",0.98
"1549","49","S3",1.2
"1550","50","S3",1.1
"1551","51","S3",1.01
"1552","52","S3",1.09
"1553","53","S3",1.16
"1554","54","S3",1.28
"1555","55","S3",1.22
"1556","56","S3",1.3
"1557","57","S3",1.26
"1558","58","S3",1.06
"1559","59","S3",1
"1560","60","S3",0.94
"1561","61","S3",1.07
"1562","62","S3",1.23
"1563","63","S3",1.19
"1564","64","S3",1.09
"1565","65","S3",1.06
"1566","66","S3",1.19
"1567","67","S3",0.91
"1568","68","S3",1.14
"1569","69","S3",0.97
"1570","70","S3",1.03
"1571","71","S3",1.02
"1572","72","S3",1.06
"1573","73","S3",1.22
"1574","74","S3",1.11
"1575","75","S3",1.21
"1576","76","S3",1.26
"1577","77","S3",0.97
"1578","78","S3",1.14
"1579","79","S3",1.27
"1580","80","S3",1.08
"1581","81","S3",0.94
"1582","82","S3",1.05
"1583","83","S3",1.18
"1584","84","S3",1.08
"1585","85","S3",1.18
"1586","86","S3",1.14
"1587","87","S3",1.13
"1588","88","S3",1.02
"1589","89","S3",1.02
"1590","90","S3",0.94
"1591","91","S3",1.01
"1592","92","S3",1.24
"1593","93","S3",1.16
"1594","94","S3",1.19
"1595","95","S3",1.23
"1596","96","S3",1.15
"1597","97","S3",1.07
"1598","98","S3",1.19
"1599","99","S3",1.15
"1600","100","S3",0.98
"1601","101","S3",1.05
"1602","102","S3",1.04
"1603","103","S3",1.11
"1604","104","S3",1.09
"1605","105","S3",1.18
"1606","106","S3",1.1
"1607","107","S3",1.09
"1608","108","S3",0.98
"1609","109","S3",1.15
"1610","110","S3",1.11
"1611","111","S3",1.01
"1612","112","S3",1.1
"1613","113","S3",1.02
"1614","114","S3",0.98
"1615","115","S3",0.98
"1616","116","S3",0.88
"1617","117","S3",1.25
"1618","118","S3",0.98
"1619","119","S3",1.09
"1620","120","S3",1.2
"1621","121","S3",1.23
"1622","122","S3",1
"1623","123","S3",1.03
"1624","124","S3",1.04
"1625","125","S3",1.21
"1626","126","S3",1.21
"1627","127","S3",0.93
"1628","128","S3",1.16
"1629","129","S3",1.12
"1630","130","S3",1.14
"1631","131","S3",1.37
"1632","132","S3",1.25
"1633","133","S3",1.14
"1634","134","S3",1.28
"1635","135","S3",0.9
"1636","136","S3",1.04
"1637","137","S3",1.01
"1638","138","S3",1.23
"1639","139","S3",1
"1640","140","S3",1.15
"1641","141","S3",0.92
"1642","142","S3",1.06
"1643","143","S3",1.11
"1644","144","S3",1.08
"1645","145","S3",0.96
"1646","146","S3",1.06
"1647","147","S3",1.03
"1648","148","S3",1.15
"1649","149","S3",1.24
"1650","150","S3",1.17
"1651","151","S3",1.04
"1652","152","S3",1.23
"1653","153","S3",1.04
"1654","154","S3",1.06
"1655","155","S3",1.11
"1656","156","S3",1.01
"1657","157","S3",1.06
"1658","158","S3",1.03
"1659","159","S3",1.13
"1660","160","S3",1.24
"1661","161","S3",1.14
"1662","162","S3",0.95
"1663","163","S3",1.24
"1664","164","S3",1.06
"1665","165","S3",1.08
"1666","166","S3",1.14
"1667","167","S3",1.04
"1668","168","S3",1.13
"1669","169","S3",1.18
"1670","170","S3",1.09
"1671","171","S3",1.32
"1672","172","S3",1.18
"1673","173","S3",1.34
"1674","174","S3",1.07
"1675","175","S3",1.2
"1676","176","S3",1.08
"1677","177","S3",1.21
"1678","178","S3",1.1
"1679","179","S3",1.17
"1680","180","S3",1
"1681","181","S3",1.21
"1682","182","S3",1.07
"1683","183","S3",0.97
"1684","184","S3",1.13
"1685","185","S3",1.35
"1686","186","S3",1.09
"1687","187","S3",1.05
"1688","188","S3",1.2
"1689","189","S3",1.03
"1690","190","S3",1.26
"1691","191","S3",1.01
"1692","192","S3",1.23
"1693","193","S3",0.94
"1694","194","S3",1.09
"1695","195","S3",1.14
"1696","196","S3",1.18
"1697","197","S3",1.12
"1698","198","S3",1.1
"1699","199","S3",1.02
"1700","200","S3",1.2
"1701","201","S3",1.07
"1702","202","S3",1.1
"1703","203","S3",1.08
"1704","204","S3",1.16
"1705","205","S3",1.1
"1706","206","S3",1.32
"1707","207","S3",1.05
"1708","208","S3",0.95
"1709","209","S3",1.08
"1710","210","S3",1.09
"1711","211","S3",0.79
"1712","212","S3",0.94
"1713","213","S3",1.21
"1714","214","S3",1.2
"1715","215","S3",1.07
"1716","216","S3",0.93
"1717","217","S3",0.98
"1718","218","S3",0.98
"1719","219","S3",1.08
"1720","220","S3",1.13
"1721","221","S3",1.13
"1722","222","S3",1.11
"1723","223","S3",1.25
"1724","224","S3",1.1
"1725","225","S3",0.86
"1726","226","S3",1.23
"1727","227","S3",1.16
"1728","228","S3",1.11
"1729","229","S3",1.12
"1730","230","S3",1.11
"1731","231","S3",1.03
"1732","232","S3",0.88
"1733","233","S3",1.06
"1734","234","S3",1.19
"1735","235","S3",1.09
"1736","236","S3",1.18
"1737","237","S3",1.22
"1738","238","S3",0.79
"1739","239","S3",1.01
"1740","240","S3",1.07
"1741","241","S3",1.21
"1742","242","S3",1.03
"1743","243","S3",1.15
"1744","244","S3",1.27
"1745","245","S3",0.95
"1746","246","S3",1.02
"1747","247","S3",1.04
"1748","248","S3",1
"1749","249","S3",1.18
"1750","250","S3",1.05
"1751","251","S3",1.18
"1752","252","S3",1.15
"1753","253","S3",1.19
"1754","254","S3",1.21
"1755","255","S3",1.16
"1756","256","S3",1.19
"1757","257","S3",1.13
"1758","258","S3",1.18
"1759","259","S3",1.1
"1760","260","S3",1.2
"1761","261","S3",1.01
"1762","262","S3",1.22
"1763","263","S3",1.11
"1764","264","S3",1.18
"1765","265","S3",1
"1766","266","S3",1.14
"1767","267","S3",1.13
"1768","268","S3",1.07
"1769","269","S3",1.35
"1770","270","S3",0.98
"1771","271","S3",1.06
"1772","272","S3",0.88
"1773","273","S3",0.87
"1774","274","S3",1.01
"1775","275","S3",1.03
"1776","276","S3",1.34
"1777","277","S3",0.94
"1778","278","S3",1.07
"1779","279","S3",1.06
"1780","280","S3",1.16
"1781","281","S3",1.16
"1782","282","S3",1.23
"1783","283","S3",1.03
"1784","284","S3",1.16
"1785","285","S3",1.14
"1786","286","S3",1.13
"1787","287","S3",0.92
"1788","288","S3",1
"1789","289","S3",1.2
"1790","290","S3",1.04
"1791","291","S3",0.93
"1792","292","S3",1.13
"1793","293","S3",1.04
"1794","294","S3",1.18
"1795","295","S3",1.07
"1796","296","S3",1.1
"1797","297","S3",1.06
"1798","298","S3",1.09
"1799","299","S3",1.29
"1800","300","S3",1.09
"1801","301","S3",1.13
"1802","302","S3",1.22
"1803","303","S3",1.05
"1804","304","S3",0.94
"1805","305","S3",1.15
"1806","306","S3",1.19
"1807","307","S3",1.08
"1808","308","S3",1.19
"1809","309","S3",1.03
"1810","310","S3",1.19
"1811","311","S3",1.25
"1812","312","S3",1.03
"1813","313","S3",1.17
"1814","314","S3",1
"1815","315","S3",1.02
"1816","316","S3",1.2
"1817","317","S3",1.16
"1818","318","S3",0.99
"1819","319","S3",0.97
"1820","320","S3",1.11
"1821","321","S3",0.99
"1822","322","S3",1.15
"1823","323","S3",0.97
"1824","324","S3",1.08
"1825","325","S3",1.16
"1826","326","S3",1.01
"1827","327","S3",1.14
"1828","328","S3",1.02
"1829","329","S3",1.18
"1830","330","S3",1.18
"1831","331","S3",1.06
"1832","332","S3",1.17
"1833","333","S3",1
"1834","334","S3",1.15
"1835","335","S3",1.18
"1836","336","S3",1.06
"1837","337","S3",1.12
"1838","338","S3",1.01
"1839","339","S3",1.1
"1840","340","S3",1.02
"1841","341","S3",0.96
"1842","342","S3",1.23
"1843","343","S3",0.97
"1844","344","S3",1.02
"1845","345","S3",1.07
"1846","346","S3",1.19
"1847","347","S3",1.08
"1848","348","S3",1.26
"1849","349","S3",1.12
"1850","350","S3",1.3
"1851","351","S3",1.18
"1852","352","S3",1.18
"1853","353","S3",1.21
"1854","354","S3",1.2
"1855","355","S3",1.27
"1856","356","S3",1.29
"1857","357","S3",1.13
"1858","358","S3",1.03
"1859","359","S3",1.14
"1860","360","S3",0.96
"1861","361","S3",1.33
"1862","362","S3",1.06
"1863","363","S3",1.03
"1864","364","S3",1.14
"1865","365","S3",0.85
"1866","366","S3",1.18
"1867","367","S3",1.16
"1868","368","S3",1.11
"1869","369","S3",1.21
"1870","370","S3",1.16
"1871","371","S3",1.08
"1872","372","S3",1.02
"1873","373","S3",1.11
"1874","374","S3",1.27
"1875","375","S3",1.2
"1876","376","S3",0.99
"1877","377","S3",1.14
"1878","378","S3",1.13
"1879","379","S3",1.08
"1880","380","S3",1.17
"1881","381","S3",0.93
"1882","382","S3",1.17
"1883","383","S3",1.23
"1884","384","S3",1.14
"1885","385","S3",1.1
"1886","386","S3",1.05
"1887","387","S3",0.98
"1888","388","S3",1.06
"1889","389","S3",1.14
"1890","390","S3",1.06
"1891","391","S3",1.21
"1892","392","S3",1
"1893","393","S3",1.12
"1894","394","S3",1.13
"1895","395","S3",1.13
"1896","396","S3",1.11
"1897","397","S3",1.02
"1898","398","S3",1.05
"1899","399","S3",1.05
"1900","400","S3",1.25
"1901","401","S3",1.04
"1902","402","S3",1.16
"1903","403","S3",1.15
"1904","404","S3",0.9
"1905","405","S3",1.25
"1906","406","S3",1.03
"1907","407","S3",1.15
"1908","408","S3",1.03
"1909","409","S3",1.25
"1910","410","S3",1.05
"1911","411","S3",0.97
"1912","412","S3",1.21
"1913","413","S3",1.1
"1914","414","S3",1.05
"1915","415","S3",1.28
"1916","416","S3",0.99
"1917","417","S3",0.94
"1918","418","S3",0.94
"1919","419","S3",1.02
"1920","420","S3",1.14
"1921","421","S3",1.09
"1922","422","S3",0.99
"1923","423","S3",1.11
"1924","424","S3",1.17
"1925","425","S3",1.2
"1926","426","S3",1.16
"1927","427","S3",0.96
"1928","428","S3",1.25
"1929","429","S3",1.02
"1930","430","S3",1.14
"1931","431","S3",1.28
"1932","432","S3",1.05
"1933","433","S3",1.16
"1934","434","S3",1.07
"1935","435","S3",1.14
"1936","436","S3",1.21
"1937","437","S3",0.91
"1938","438","S3",1.16
"1939","439","S3",1.08
"1940","440","S3",1.04
"1941","441","S3",1.1
"1942","442","S3",1.15
"1943","443","S3",1.26
"1944","444","S3",1.24
"1945","445","S3",1.27
"1946","446","S3",1.02
"1947","447","S3",1.11
"1948","448","S3",1.11
"1949","449","S3",1.36
"1950","450","S3",1.32
"1951","451","S3",1.32
"1952","452","S3",1.12
"1953","453","S3",1.12
"1954","454","S3",1.21
"1955","455","S3",0.98
"1956","456","S3",1.09
"1957","457","S3",1.25
"1958","458","S3",1.06
"1959","459","S3",0.9
"1960","460","S3",1.05
"1961","461","S3",1.11
"1962","462","S3",1.15
"1963","463","S3",1
"1964","464","S3",1.07
"1965","465","S3",1.1
"1966","466","S3",1.14
"1967","467","S3",1.03
"1968","468","S3",0.99
"1969","469","S3",1.03
"1970","470","S3",1.15
"1971","471","S3",1.14
"1972","472","S3",1.03
"1973","473","S3",1.14
"1974","474","S3",1.07
"1975","475","S3",1.17
"1976","476","S3",1.11
"1977","477","S3",1.21
"1978","478","S3",0.97
"1979","479","S3",1.11
"1980","480","S3",1.13
"1981","481","S3",1.4
"1982","482","S3",1.3
"1983","483","S3",1.2
"1984","484","S3",1.07
"1985","485","S3",1.18
"1986","486","S3",1.08
"1987","487","S3",0.97
"1988","488","S3",1.14
"1989","489","S3",1.14
"1990","490","S3",1.05
"1991","491","S3",1.1
"1992","492","S3",0.88
"1993","493","S3",1.22
"1994","494","S3",1.04
"1995","495","S3",1.07
"1996","496","S3",1.19
"1997","497","S3",0.99
"1998","498","S3",1.13
"1999","499","S3",1.18
"2000","500","S3",1.14
"2001","1","S3a",1.27
"2002","2","S3a",1.3
"2003","3","S3a",1.3
"2004","4","S3a",1.46
"2005","5","S3a",1.32
"2006","6","S3a",1.38
"2007","7","S3a",1.41
"2008","8","S3a",1.21
"2009","9","S3a",1.41
"2010","10","S3a",1.37
"2011","11","S3a",1.47
"2012","12","S3a",1.24
"2013","13","S3a",1.3
"2014","14","S3a",1.25
"2015","15","S3a",1.29
"2016","16","S3a",1.27
"2017","17","S3a",1.31
"2018","18","S3a",1.28
"2019","19","S3a",1.35
"2020","20","S3a",1
"2021","21","S3a",1.18
"2022","22","S3a",1.37
"2023","23","S3a",1.48
"2024","24","S3a",1.29
"2025","25","S3a",1.43
"2026","26","S3a",1.3
"2027","27","S3a",1.38
"2028","28","S3a",1.28
"2029","29","S3a",1.2
"2030","30","S3a",1.28
"2031","31","S3a",1.36
"2032","32","S3a",1.03
"2033","33","S3a",1.3
"2034","34","S3a",1.02
"2035","35","S3a",1.25
"2036","36","S3a",1.28
"2037","37","S3a",1.45
"2038","38","S3a",1.28
"2039","39","S3a",1.12
"2040","40","S3a",1.24
"2041","41","S3a",1.27
"2042","42","S3a",1.32
"2043","43","S3a",1.44
"2044","44","S3a",1.39
"2045","45","S3a",1.5
"2046","46","S3a",1.26
"2047","47","S3a",1.17
"2048","48","S3a",1.13
"2049","49","S3a",1.34
"2050","50","S3a",1.27
"2051","51","S3a",1.22
"2052","52","S3a",1.25
"2053","53","S3a",1.27
"2054","54","S3a",1.44
"2055","55","S3a",1.36
"2056","56","S3a",1.41
"2057","57","S3a",1.47
"2058","58","S3a",1.34
"2059","59","S3a",1.32
"2060","60","S3a",1.07
"2061","61","S3a",1.25
"2062","62","S3a",1.45
"2063","63","S3a",1.33
"2064","64","S3a",1.25
"2065","65","S3a",1.25
"2066","66","S3a",1.33
"2067","67","S3a",1.14
"2068","68","S3a",1.3
"2069","69","S3a",1.2
"2070","70","S3a",1.34
"2071","71","S3a",1.28
"2072","72","S3a",1.21
"2073","73","S3a",1.41
"2074","74","S3a",1.19
"2075","75","S3a",1.42
"2076","76","S3a",1.45
"2077","77","S3a",1.16
"2078","78","S3a",1.34
"2079","79","S3a",1.46
"2080","80","S3a",1.3
"2081","81","S3a",1.18
"2082","82","S3a",1.26
"2083","83","S3a",1.38
"2084","84","S3a",1.24
"2085","85","S3a",1.36
"2086","86","S3a",1.29
"2087","87","S3a",1.45
"2088","88","S3a",1.21
"2089","89","S3a",1.22
"2090","90","S3a",1.18
"2091","91","S3a",1.13
"2092","92","S3a",1.34
"2093","93","S3a",1.35
"2094","94","S3a",1.27
"2095","95","S3a",1.42
"2096","96","S3a",1.34
"2097","97","S3a",1.29
"2098","98","S3a",1.46
"2099","99","S3a",1.39
"2100","100","S3a",1.23
"2101","101","S3a",1.29
"2102","102","S3a",1.27
"2103","103","S3a",1.23
"2104","104","S3a",1.2
"2105","105","S3a",1.42
"2106","106","S3a",1.31
"2107","107","S3a",1.21
"2108","108","S3a",1.24
"2109","109","S3a",1.34
"2110","110","S3a",1.32
"2111","111","S3a",1.23
"2112","112","S3a",1.26
"2113","113","S3a",1.27
"2114","114","S3a",1.21
"2115","115","S3a",1.2
"2116","116","S3a",1.04
"2117","117","S3a",1.41
"2118","118","S3a",1.11
"2119","119","S3a",1.28
"2120","120","S3a",1.4
"2121","121","S3a",1.41
"2122","122","S3a",1.14
"2123","123","S3a",1.24
"2124","124","S3a",1.14
"2125","125","S3a",1.38
"2126","126","S3a",1.37
"2127","127","S3a",1.18
"2128","128","S3a",1.3
"2129","129","S3a",1.4
"2130","130","S3a",1.31
"2131","131","S3a",1.58
"2132","132","S3a",1.42
"2133","133","S3a",1.24
"2134","134","S3a",1.43
"2135","135","S3a",1.1
"2136","136","S3a",1.32
"2137","137","S3a",1.18
"2138","138","S3a",1.35
"2139","139","S3a",1.19
"2140","140","S3a",1.41
"2141","141","S3a",1.08
"2142","142","S3a",1.26
"2143","143","S3a",1.24
"2144","144","S3a",1.23
