"","x"
"2057",2
"2058",2
"2059",8.5
"2060",2
"2061",57.5
"2062",22.5
"2063",6
"2064",12.5
"2065",4
"2066",52.5
"2067",0.5
"2068",17.5
"2069",8.5
"2070",22.5
"2071",2
"2072",8.5
"2073",42.5
"2074",47.5
"2075",8.5
"2076",2
"2077",12.5
"2078",4
"2079",8.5
"2080",12.5
"2081",0.5
"2082",22.5
"2083",17.5
"2084",8.5
"2085",17.5
"2086",2
"2087",6
"2088",2
"2089",8.5
"2090",8.5
"2091",17.5
"2092",2
"2093",12.5
"2094",4
"2095",12.5
"2096",12.5
"2097",0.5
"2098",17.5
"2099",6
"2100",8.5
"2101",2
"2102",22.5
"2103",8.5
"2104",42.5
"2105",4
"2106",4
"2107",22.5
"2108",6
"2109",12.5
"2110",12.5
"2111",42.5
"2112",22.5
"2113",2
"2114",12.5
"2115",17.5
"2116",22.5
"2117",12.5
"2118",4
"2119",2
"2120",32.5
"2121",22.5
"2122",4
"2123",2
"2124",22.5
"2125",2
"2126",17.5
"2127",47.5
"2128",6
"2129",4
"2130",8.5
"2131",12.5
"2132",22.5
"2133",32.5
"2134",17.5
"2135",2
"2136",47.5
"2137",8.5
"2138",12.5
"2139",22.5
"2140",0.5
"2141",12.5
"2142",2
"2143",12.5
"2144",0.5
"2145",6
"2146",2
"2147",8.5
"2148",2
"2149",72.5
"2150",17.5
"2151",62.5
"2152",32.5
"2153",8.5
"2154",4
"2155",2
"2156",4
"2157",37.5
"2158",8.5
"2159",0.5
"2160",17.5
"2161",22.5
"2162",6
"2163",8.5
"2164",27.5
"2165",12.5
"2166",12.5
"2167",2
"2168",22.5
"2169",8.5
"2170",12.5
"2171",6
"2172",0.5
"2173",17.5
"2174",32.5
"2175",12.5
"2176",0.5
"2177",12.5
"2178",12.5
"2179",0.5
"2180",4
"2181",12.5
"2182",8.5
"2183",32.5
"2184",22.5
"2185",17.5
"2186",2
"2187",2
"2188",0.5
"2189",6
"2190",17.5
"2191",6
"2192",12.5
"2193",27.5
"2194",37.5
"2195",12.5
"2196",47.5
"2197",17.5
"2198",22.5
"2199",37.5
"2200",22.5
"2201",8.5
"2202",27.5
"2203",6
"2204",2
"2205",2
"2206",42.5
"2207",8.5
"2208",12.5
"2209",37.5
"2210",4
"2211",22.5
"2212",0.5
"2213",4
"2214",12.5
"2215",6
"2216",8.5
"2217",47.5
"2218",4
"2219",8.5
"2220",17.5
"2221",6
"2222",4
"2223",12.5
"2224",22.5
"2225",6
"2226",6
"2227",12.5
"2228",2
"2229",4
"2230",4
"2231",2
"2232",17.5
"2233",2
"2234",12.5
"2235",6
"2236",8.5
"2237",6
"2238",2
"2239",22.5
"2240",32.5
"2241",12.5
"2242",6
"2243",47.5
"2244",6
"2245",47.5
"2246",2
"2247",4
"2248",4
"2249",4
"2250",6
"2251",4
"2252",12.5
"2253",6
"2254",27.5
"2255",2
"2256",12.5
"2257",6
"2258",2
"2259",12.5
"2260",17.5
"2261",4
"2262",0.5
"2263",6
"2264",6
"2265",17.5
"2266",2
"2267",17.5
"2268",27.5
"2269",8.5
"2270",4
"2271",6
"2272",42.5
"2273",0.5
"2274",6
"2275",17.5
"2276",27.5
"2277",2
"2278",4
"2279",12.5
"2280",2
"2281",22.5
"2282",6
"2283",6
"2284",12.5
"2285",17.5
"2286",2
"2287",2
"2288",4
"2289",4
"2290",0.5
"2291",6
"2292",4
"2293",8.5
"2294",4
"2295",12.5
"2296",4
"2297",12.5
"2298",22.5
"2299",4
"2300",4
"2301",12.5
"2302",12.5
"2303",8.5
"2304",8.5
"2305",2
"2306",8.5
"2307",4
"2308",6
"2309",8.5
"2310",4
"2311",4
"2312",8.5
"2313",37.5
"2314",2
"2315",8.5
"2316",37.5
"2317",6
"2318",17.5
"2319",4
"2320",22.5
"2321",4
"2322",42.5
"2323",8.5
"2324",2
"2325",17.5
"2326",2
"2327",12.5
"2328",6
"2329",2
"2330",42.5
"2331",12.5
"2332",12.5
"2333",12.5
"2334",17.5
"2335",4
"2336",27.5
"2337",2
"2338",0.5
"2339",17.5
"2340",6
"2341",12.5
"2342",0.5
"2343",37.5
"2344",4
"2345",17.5
"2346",32.5
"2347",2
"2348",12.5
"2349",4
"2350",2
"2351",37.5
"2352",2
"2353",6
"2354",2
"2355",8.5
"2356",4
"2357",8.5
"2358",0.5
"2359",37.5
"2360",2
"2361",6
"2362",0.5
"2363",2
"2364",32.5
"2365",2
"2366",12.5
"2367",6
"2368",2
"2369",12.5
"2370",6
"2371",17.5
"2372",4
"2373",52.5
"2374",4
"2375",8.5
"2376",22.5
"2377",12.5
"2378",12.5
"2379",8.5
"2380",27.5
"2381",17.5
"2382",42.5
"2383",4
"2384",0.5
"2385",2
"2386",6
"2387",4
"2388",8.5
"2389",42.5
"2390",6
"2391",27.5
"2392",12.5
"2393",4
"2394",6
"2395",12.5
"2396",42.5
"2397",17.5
"2398",17.5
"2399",2
"2400",0.5
"2401",6
"2402",22.5
"2403",12.5
"2404",17.5
"2405",12.5
"2406",6
"2407",27.5
"2408",37.5
"2409",12.5
"2410",8.5
"2411",6
"2412",2
"2413",8.5
"2414",22.5
"2415",12.5
"2416",6
"2417",12.5
"2418",4
"2419",12.5
"2420",12.5
"2421",17.5
"2422",32.5
"2423",8.5
"2424",17.5
"2425",8.5
"2426",6
"2427",4
"2428",12.5
"2429",12.5
"2430",0.5
"2431",12.5
"2432",22.5
"2433",42.5
"2434",22.5
"2435",2
"2436",8.5
"2437",37.5
"2438",8.5
"2439",12.5
"2440",37.5
"2441",42.5
"2442",2
"2443",2
"2444",0.5
"2445",0.5
"2446",12.5
"2447",6
"2448",27.5
"2449",4
"2450",27.5
"2451",8.5
"2452",12.5
"2453",22.5
"2454",4
"2455",4
"2456",6
"2457",0.5
"2458",0.5
"2459",22.5
"2460",17.5
"2461",17.5
"2462",4
"2463",2
"2464",4
"2465",57.5
"2466",4
"2467",12.5
"2468",22.5
"2469",2
"2470",22.5
"2471",8.5
"2472",12.5
"2473",12.5
"2474",22.5
"2475",2
"2476",2
"2477",32.5
"2478",27.5
"2479",0.5
"2480",0.5
"2481",6
"2482",12.5
"2483",12.5
"2484",0.5
"2485",8.5
"2486",6
"2487",2
"2488",4
"2489",6
"2490",52.5
"2491",12.5
"2492",4
"2493",27.5
"2494",2
"2495",4
"2496",6
"2497",27.5
"2498",2
"2499",4
"2500",2
"2501",32.5
"2502",2
"2503",8.5
"2504",2
"2505",17.5
"2506",12.5
"2507",6
"2508",27.5
"2509",8.5
"2510",17.5
"2511",22.5
"2512",6
"2513",12.5
"2514",2
"2515",6
"2516",4
"2517",47.5
"2518",12.5
"2519",2
"2520",27.5
"2521",8.5
"2522",27.5
"2523",8.5
"2524",0.5
"2525",12.5
"2526",17.5
"2527",4
"2528",22.5
"2529",12.5
"2530",27.5
"2531",4
"2532",12.5
"2533",8.5
"2534",57.5
"2535",8.5
"2536",8.5
"2537",2
"2538",12.5
"2539",27.5
"2540",12.5
"2541",0.5
"2542",6
"2543",6
"2544",17.5
"2545",4
"2546",6
"2547",17.5
"2548",17.5
"2549",12.5
"2550",12.5
"2551",4
"2552",2
"2553",32.5
"2554",4
"2555",32.5
"2556",47.5
"2557",12.5
"2558",47.5
"2559",37.5
"2560",17.5
"2561",17.5
"2562",6
"2563",2
"2564",6
"2565",4
"2566",17.5
"2567",17.5
"2568",0.5
"2569",12.5
"2570",2
"2571",2
"2572",22.5
"2573",17.5
"2574",17.5
"2575",17.5
"2576",8.5
"2577",12.5
"2578",6
"2579",2
"2580",4
"2581",6
"2582",6
"2583",0.5
"2584",12.5
"2585",8.5
"2586",4
"2587",12.5
"2588",37.5
"2589",22.5
"2590",12.5
"2591",6
"2592",42.5
"2593",12.5
"2594",6
"2595",2
"2596",6
"2597",17.5
"2598",8.5
"2599",42.5
"2600",4
"2601",8.5
"2602",22.5
"2603",8.5
"2604",0.5
"2605",42.5
"2606",8.5
"2607",12.5
"2608",4
"2609",2
"2610",8.5
"2611",17.5
"2612",42.5
"2613",8.5
"2614",8.5
"2615",12.5
"2616",2
"2617",22.5
"2618",4
"2619",17.5
"2620",4
"2621",4
"2622",37.5
"2623",4
"2624",17.5
"2625",4
"2626",12.5
"2627",12.5
"2628",22.5
"2629",17.5
"2630",8.5
"2631",12.5
"2632",17.5
"2633",0.5
"2634",8.5
"2635",42.5
"2636",6
"2637",2
"2638",4
"2639",2
"2640",2
"2641",12.5
"2642",6
"2643",8.5
"2644",2
"2645",2
"2646",0.5
"2647",0.5
"2648",6
"2649",32.5
"2650",12.5
"2651",4
"2652",12.5
"2653",6
"2654",27.5
"2655",22.5
"2656",37.5
"2657",17.5
"2658",4
"2659",12.5
"2660",4
"2661",17.5
"2662",12.5
"2663",17.5
"2664",12.5
"2665",2
"2666",8.5
"2667",0.5
"2668",8.5
"2669",0.5
"2670",22.5
"2671",4
"2672",12.5
"2673",4
"2674",2
"2675",8.5
"2676",6
"2677",12.5
"2678",0.5
"2679",4
"2680",22.5
"2681",8.5
"2682",6
"2683",37.5
"2684",22.5
"2685",0.5
"2686",12.5
"2687",4
"2688",12.5
"2689",12.5
"2690",6
"2691",2
"2692",8.5
"2693",4
"2694",17.5
"2695",62.5
"2696",32.5
"2697",4
"2698",2
"2699",0.5
"2700",17.5
"2701",6
"2702",17.5
"2703",22.5
"2704",4
"2705",12.5
"2706",27.5
"2707",2
"2708",12.5
"2709",17.5
"2710",27.5
"2711",37.5
"2712",67.5
"2713",12.5
"2714",2
"2715",8.5
"2716",22.5
"2717",17.5
"2718",12.5
"2719",8.5
"2720",6
"2721",42.5
"2722",22.5
"2723",17.5
"2724",27.5
"2725",4
"2726",6
"2727",17.5
"2728",8.5
"2729",6
"2730",2
"2731",17.5
"2732",17.5
"2733",0.5
"2734",12.5
"2735",22.5
"2736",6
"2737",17.5
"2738",4
"2739",2
"2740",2
"2741",4
"2742",72.5
"2743",8.5
"2744",4
"2745",12.5
"2746",22.5
"2747",12.5
"2748",17.5
"2749",8.5
"2750",4
"2751",12.5
"2752",4
"2753",2
"2754",4
"2755",12.5
"2756",37.5
"2757",4
"2758",22.5
"2759",32.5
"2760",12.5
"2761",27.5
"2762",8.5
"2763",6
"2764",32.5
"2765",12.5
"2766",8.5
"2767",42.5
"2768",12.5
"2769",27.5
"2770",6
"2771",6
"2772",12.5
"2773",12.5
"2774",12.5
"2775",27.5
"2776",2
"2777",12.5
"2778",2
"2779",8.5
"2780",32.5
"2781",4
"2782",37.5
"2783",27.5
"2784",8.5
"2785",2
"2786",47.5
"2787",4
"2788",4
"2789",8.5
"2790",12.5
"2791",4
"2792",8.5
"2793",6
"2794",12.5
"2795",2
"2796",4
"2797",12.5
"2798",6
"2799",32.5
"2800",2
"2801",0.5
"2802",4
"2803",2
"2804",4
"2805",4
"2806",0.5
"2807",8.5
"2808",2
"2809",17.5
"2810",8.5
"2811",42.5
"2812",12.5
"2813",6
"2814",6
"2815",17.5
"2816",62.5
"2817",42.5
"2818",8.5
"2819",8.5
"2820",2
"2821",22.5
"2822",8.5
"2823",2
"2824",4
"2825",4
"2826",17.5
"2827",27.5
"2828",6
"2829",17.5
"2830",22.5
"2831",2
"2832",2
"2833",62.5
"2834",8.5
"2835",8.5
"2836",32.5
"2837",22.5
"2838",12.5
"2839",0.5
"2840",22.5
"2841",12.5
"2842",6
"2843",8.5
"2844",17.5
"2845",8.5
"2846",4
"2847",17.5
"2848",12.5
"2849",8.5
"2850",8.5
"2851",17.5
"2852",0.5
"2853",8.5
"2854",4
"2855",12.5
"2856",12.5
"2857",32.5
"2858",4
"2859",42.5
"2860",6
"2861",17.5
"2862",17.5
"2863",6
"2864",17.5
"2865",8.5
"2866",17.5
"2867",4
"2868",22.5
"2869",2
"2870",6
"2871",2
"2872",17.5
"2873",8.5
"2874",8.5
"2875",2
"2876",12.5
"2877",4
"2878",12.5
"2879",27.5
"2880",2
"2881",42.5
"2882",2
"2883",4
"2884",2
"2885",8.5
"2886",17.5
"2887",32.5
"2888",6
"2889",27.5
"2890",12.5
"2891",17.5
"2892",47.5
"2893",8.5
"2894",27.5
"2895",17.5
"2896",17.5
"2897",8.5
"2898",22.5
"2899",4
"2900",0.5
"2901",62.5
"2902",4
"2903",6
"2904",12.5
"2905",8.5
"2906",17.5
"2907",12.5
"2908",42.5
"2909",17.5
"2910",4
"2911",27.5
"2912",8.5
"2913",17.5
"2914",12.5
"2915",2
"2916",17.5
"2917",4
"2918",8.5
"2919",42.5
"2920",4
"2921",2
"2922",8.5
"2923",22.5
"2924",8.5
"2925",22.5
"2926",4
"2927",0.5
"2928",12.5
"2929",2
"2930",4
"2931",8.5
"2932",37.5
"2933",6
"2934",2
"2935",0.5
"2936",8.5
"2937",8.5
"2938",4
"2939",37.5
"2940",4
"2941",6
"2942",2
"2943",12.5
"2944",57.5
"2945",32.5
"2946",6
"2947",32.5
"2948",22.5
"2949",12.5
"2950",4
"2951",0.5
"2952",6
"2953",17.5
"2954",8.5
"2955",2
"2956",2
"2957",22.5
"2958",17.5
"2959",4
"2960",4
"2961",6
"2962",62.5
"2963",8.5
"2964",22.5
"2965",6
"2966",6
"2967",2
"2968",17.5
"2969",6
"2970",8.5
"2971",22.5
"2972",0.5
"2973",42.5
"2974",32.5
"2975",0.5
"2976",2
"2977",17.5
"2978",0.5
"2979",4
"2980",17.5
"2981",0.5
"2982",12.5
"2983",42.5
"2984",17.5
"2985",6
"2986",2
"2987",4
"2988",27.5
"2989",4
"2990",57.5
"2991",82.5
"2992",4
"2993",2
"2994",17.5
"2995",12.5
"2996",22.5
"2997",6
"2998",42.5
"2999",37.5
"3000",4
"3001",27.5
"3002",12.5
"3003",17.5
"3004",4
"3005",6
"3006",12.5
"3007",22.5
"3008",37.5
"3009",2
"3010",6
"3011",17.5
"3012",37.5
"3013",0.5
"3014",6
"3015",12.5
"3016",37.5
"3017",47.5
"3018",27.5
"3019",8.5
"3020",17.5
"3021",8.5
"3022",2
"3023",2
"3024",6
"3025",52.5
"3026",17.5
"3027",22.5
"3028",17.5
"3029",17.5
"3030",2
"3031",8.5
"3032",2
"3033",2
"3034",4
"3035",12.5
"3036",6
"3037",8.5
"3038",4
"3039",17.5
"3040",12.5
"3041",2
"3042",52.5
"3043",42.5
"3044",4
"3045",2
"3046",0.5
"3047",4
"3048",12.5
"3049",2
"3050",17.5
"3051",2
"3052",0.5
"3053",6
"3054",2
"3055",4
"3056",12.5
"3057",4
"3058",32.5
"3059",4
"3060",2
"3061",6
"3062",2
"3063",2
"3064",17.5
"3065",37.5
"3066",12.5
"3067",6
"3068",42.5
"3069",6
"3070",6
"3071",2
"3072",8.5
"3073",32.5
"3074",12.5
"3075",0.5
"3076",12.5
"3077",17.5
"3078",12.5
"3079",8.5
"3080",4
"3081",17.5
"3082",32.5
"3083",2
"3084",37.5
"3085",4
"3086",12.5
"3087",0.5
"3088",8.5
"3089",12.5
"3090",12.5
"3091",0.5
"3092",6
"3093",22.5
"3094",12.5
"3095",6
"3096",2
"3097",0.5
"3098",52.5
"3099",4
"3100",4
"3101",17.5
"3102",8.5
"3103",12.5
"3104",8.5
"3105",2
"3106",17.5
"3107",17.5
"3108",8.5
"3109",0.5
"3110",4
"3111",12.5
"3112",2
"3113",4
"3114",12.5
"3115",67.5
"3116",0.5
"3117",8.5
"3118",2
"3119",8.5
"3120",6
"3121",17.5
"3122",0.5
"3123",4
"3124",12.5
"3125",22.5
"3126",8.5
"3127",6
"3128",37.5
"3129",57.5
"3130",37.5
"3131",2
"3132",2
"3133",8.5
"3134",6
"3135",2
"3136",4
"3137",4
"3138",17.5
"3139",37.5
"3140",17.5
"3141",8.5
"3142",27.5
"3143",12.5
"3144",2
"3145",17.5
"3146",12.5
"3147",22.5
"3148",12.5
"3149",17.5
"3150",2
"3151",12.5
"3152",37.5
"3153",12.5
"3154",6
"3155",12.5
"3156",22.5
"3157",6
"3158",12.5
"3159",12.5
"3160",0.5
"3161",2
"3162",8.5
"3163",6
"3164",2
"3165",4
"3166",8.5
"3167",12.5
"3168",2
"3169",4
"3170",17.5
"3171",12.5
"3172",6
"3173",6
"3174",22.5
"3175",12.5
"3176",4
"3177",22.5
"3178",27.5
"3179",17.5
"3180",6
"3181",17.5
"3182",42.5
"3183",8.5
"3184",6
"3185",0.5
"3186",17.5
"3187",4
"3188",8.5
"3189",12.5
"3190",57.5
"3191",12.5
"3192",2
"3193",6
"3194",8.5
"3195",22.5
"3196",32.5
"3197",8.5
"3198",4
"3199",52.5
"3200",0.5
"3201",4
"3202",6
"3203",4
"3204",27.5
"3205",2
"3206",12.5
"3207",8.5
"3208",8.5
"3209",2
"3210",2
"3211",8.5
"3212",17.5
"3213",6
"3214",6
"3215",2
"3216",6
"3217",6
"3218",12.5
"3219",2
"3220",47.5
"3221",12.5
"3222",8.5
"3223",12.5
"3224",12.5
"3225",4
"3226",4
"3227",2
"3228",4
"3229",12.5
"3230",2
"3231",62.5
"3232",17.5
"3233",0.5
"3234",37.5
"3235",4
"3236",2
"3237",6
"3238",4
"3239",6
"3240",27.5
"3241",6
"3242",22.5
"3243",2
"3244",2
"3245",32.5
"3246",17.5
"3247",4
"3248",12.5
"3249",6
"3250",2
"3251",8.5
"3252",8.5
"3253",8.5
"3254",6
"3255",22.5
"3256",12.5
"3257",12.5
"3258",8.5
"3259",17.5
"3260",17.5
"3261",17.5
"3262",2
"3263",2
"3264",17.5
"3265",27.5
"3266",12.5
"3267",22.5
"3268",6
"3269",17.5
"3270",6
"3271",2
"3272",4
"3273",2
"3274",12.5
"3275",12.5
"3276",8.5
"3277",42.5
"3278",22.5
"3279",32.5
"3280",17.5
"3281",12.5
"3282",8.5
"3283",8.5
"3284",8.5
"3285",0.5
"3286",0.5
"3287",17.5
"3288",8.5
"3289",12.5
"3290",12.5
"3291",6
"3292",4
"3293",12.5
"3294",22.5
"3295",8.5
"3296",0.5
"3297",2
"3298",57.5
"3299",12.5
"3300",27.5
"3301",12.5
"3302",6
"3303",2
"3304",8.5
"3305",0.5
"3306",8.5
"3307",0.5
"3308",6
"3309",2
"3310",4
"3311",8.5
"3312",6
"3313",37.5
"3314",4
"3315",8.5
"3316",12.5
"3317",2
"3318",2
"3319",8.5
"3320",2
"3321",4
"3322",12.5
"3323",8.5
"3324",12.5
"3325",8.5
"3326",22.5
"3327",8.5
"3328",17.5
"3329",4
"3330",32.5
"3331",17.5
"3332",4
"3333",6
"3334",12.5
"3335",12.5
"3336",42.5
"3337",17.5
"3338",12.5
"3339",8.5
"3340",37.5
"3341",4
"3342",22.5
"3343",27.5
"3344",4
"3345",8.5
"3346",12.5
"3347",17.5
"3348",22.5
"3349",2
"3350",42.5
"3351",8.5
"3352",42.5
"3353",6
"3354",0.5
"3355",4
"3356",4
"3357",4
"3358",17.5
"3359",8.5
"3360",0.5
"3361",4
"3362",8.5
"3363",27.5
"3364",17.5
"3365",4
"3366",4
"3367",12.5
"3368",2
"3369",2
"3370",8.5
"3371",2
"3372",2
"3373",22.5
"3374",27.5
"3375",6
"3376",8.5
"3377",4
"3378",8.5
"3379",2
"3380",17.5
"3381",22.5
"3382",12.5
"3383",2
"3384",4
"3385",27.5
"3386",8.5
"3387",37.5
"3388",2
"3389",12.5
"3390",17.5
"3391",6
"3392",4
"3393",2
"3394",8.5
"3395",2
"3396",6
"3397",8.5
"3398",12.5
"3399",2
"3400",6
"3401",12.5
"3402",12.5
"3403",27.5
"3404",17.5
"3405",8.5
"3406",0.5
"3407",6
"3408",4
"3409",12.5
"3410",12.5
"3411",0.5
"3412",22.5
"3413",2
"3414",17.5
"3415",22.5
"3416",2
"3417",2
"3418",4
"3419",6
"3420",8.5
"3421",27.5
"3422",2
"3423",12.5
"3424",4
"3425",17.5
"3426",22.5
"3427",2
"3428",4
"3429",27.5
"3430",4
"3431",0.5
"3432",4
"3433",6
"3434",6
"3435",8.5
"3436",8.5
"3437",32.5
"3438",12.5
"3439",2
"3440",12.5
"3441",4
"3442",12.5
"3443",12.5
"3444",22.5
"3445",17.5
"3446",37.5
"3447",27.5
"3448",22.5
"3449",6
"3450",2
"3451",17.5
"3452",12.5
"3453",12.5
"3454",52.5
"3455",6
"3456",37.5
"3457",27.5
"3458",12.5
"3459",22.5
"3460",22.5
"3461",12.5
"3462",6
"3463",6
"3464",12.5
"3465",4
"3466",0.5
"3467",17.5
"3468",17.5
"3469",12.5
"3470",22.5
"3471",12.5
"3472",42.5
"3473",27.5
"3474",42.5
"3475",32.5
"3476",12.5
"3477",8.5
"3478",2
"3479",6
"3480",0.5
"3481",52.5
"3482",12.5
"3483",4
"3484",17.5
"3485",2
"3486",22.5
"3487",12.5
"3488",22.5
"3489",17.5
"3490",2
"3491",52.5
"3492",12.5
"3493",4
"3494",12.5
"3495",4
"3496",2
"3497",17.5
"3498",17.5
"3499",2
"3500",0.5
"3501",12.5
"3502",8.5
"3503",6
"3504",2
"3505",2
"3506",17.5
"3507",8.5
"3508",6
"3509",17.5
"3510",22.5
"3511",8.5
"3512",4
"3513",2
"3514",4
"3515",2
"3516",12.5
"3517",2
"3518",12.5
"3519",12.5
"3520",8.5
"3521",4
"3522",8.5
"3523",12.5
"3524",12.5
"3525",17.5
"3526",6
"3527",12.5
"3528",2
"3529",8.5
"3530",37.5
"3531",12.5
"3532",12.5
"3533",2
"3534",2
"3535",6
"3536",22.5
"3537",2
"3538",12.5
"3539",4
"3540",17.5
"3541",2
"3542",12.5
"3543",4
"3544",22.5
"3545",12.5
"3546",22.5
"3547",0.5
"3548",22.5
"3549",27.5
"3550",8.5
"3551",4
"3552",17.5
"3553",2
"3554",8.5
"3555",12.5
"3556",8.5
"3557",2
"3558",17.5
"3559",27.5
"3560",67.5
"3561",2
"3562",17.5
"3563",17.5
"3564",42.5
"3565",2
"3566",27.5
"3567",42.5
"3568",2
"3569",12.5
"3570",0.5
"3571",2
"3572",27.5
"3573",4
"3574",27.5
"3575",32.5
"3576",12.5
"3577",4
"3578",4
"3579",27.5
"3580",0.5
"3581",2
"3582",12.5
"3583",12.5
"3584",8.5
"3585",4
"3586",6
"3587",4
"3588",17.5
"3589",47.5
"3590",22.5
"3591",8.5
"3592",17.5
"3593",17.5
"3594",62.5
"3595",2
"3596",4
"3597",12.5
"3598",2
"3599",8.5
"3600",17.5
"3601",12.5
"3602",2
"3603",42.5
"3604",17.5
"3605",57.5
"3606",32.5
"3607",22.5
"3608",0.5
"3609",22.5
"3610",2
"3611",8.5
"3612",2
"3613",4
"3614",2
"3615",37.5
"3616",8.5
"3617",17.5
"3618",12.5
"3619",6
"3620",12.5
"3621",6
"3622",0.5
"3623",37.5
"3624",12.5
"3625",22.5
"3626",22.5
"3627",4
"3628",4
"3629",8.5
"3630",22.5
"3631",4
"3632",12.5
"3633",6
"3634",27.5
"3635",47.5
"3636",27.5
"3637",17.5
"3638",12.5
"3639",4
"3640",2
"3641",22.5
"3642",17.5
"3643",17.5
"3644",4
"3645",12.5
"3646",8.5
"3647",6
"3648",42.5
"3649",22.5
"3650",2
"3651",2
"3652",12.5
"3653",2
"3654",4
"3655",6
"3656",17.5
"3657",6
"3658",6
"3659",0.5
"3660",12.5
"3661",2
"3662",2
"3663",17.5
"3664",12.5
"3665",12.5
"3666",6
"3667",17.5
"3668",32.5
"3669",47.5
"3670",12.5
"3671",2
"3672",4
"3673",12.5
"3674",8.5
"3675",17.5
"3676",12.5
"3677",47.5
"3678",92.5
"3679",6
"3680",8.5
"3681",2
"3682",2
"3683",2
"3684",4
"3685",8.5
"3686",4
"3687",8.5
"3688",22.5
"3689",17.5
"3690",27.5
"3691",4
"3692",8.5
"3693",32.5
"3694",8.5
"3695",12.5
"3696",12.5
"3697",4
"3698",2
"3699",2
"3700",8.5
"3701",4
"3702",17.5
"3703",6
"3704",0.5
"3705",2
"3706",6
"3707",32.5
"3708",17.5
"3709",2
"3710",6
"3711",2
"3712",17.5
"3713",22.5
"3714",8.5
"3715",2
"3716",4
"3717",27.5
"3718",22.5
"3719",8.5
"3720",47.5
"3721",27.5
"3722",32.5
"3723",17.5
"3724",17.5
"3725",2
"3726",4
"3727",22.5
"3728",2
"3729",52.5
"3730",4
"3731",4
"3732",27.5
"3733",32.5
"3734",4
"3735",8.5
"3736",4
"3737",17.5
"3738",8.5
"3739",22.5
"3740",12.5
"3741",12.5
"3742",4
"3743",8.5
"3744",22.5
"3745",52.5
"3746",22.5
"3747",2
"3748",17.5
"3749",2
"3750",6
"3751",2
"3752",2
"3753",17.5
"3754",6
"3755",2
"3756",17.5
"3757",22.5
"3758",22.5
"3759",8.5
"3760",12.5
"3761",12.5
"3762",12.5
"3763",17.5
"3764",22.5
"3765",52.5
"3766",17.5
"3767",2
"3768",17.5
"3769",8.5
"3770",12.5
"3771",0.5
"3772",17.5
"3773",4
"3774",17.5
"3775",12.5
"3776",2
"3777",22.5
"3778",27.5
"3779",2
"3780",4
"3781",0.5
"3782",2
"3783",2
"3784",22.5
"3785",4
"3786",2
"3787",47.5
"3788",4
"3789",2
"3790",6
"3791",8.5
"3792",17.5
"3793",37.5
"3794",17.5
"3795",4
"3796",17.5
"3797",12.5
"3798",4
"3799",27.5
"3800",6
"3801",4
"3802",8.5
"3803",8.5
"3804",17.5
"3805",17.5
"3806",2
"3807",0.5
"3808",6
"3809",2
"3810",2
"3811",2
"3812",17.5
"3813",12.5
"3814",52.5
"3815",12.5
"3816",2
"3817",12.5
"3818",4
"3819",8.5
"3820",6
"3821",0.5
"3822",17.5
"3823",4
"3824",12.5
"3825",32.5
"3826",12.5
"3827",17.5
"3828",0.5
"3829",12.5
"3830",6
"3831",8.5
"3832",12.5
"3833",6
"3834",6
"3835",4
"3836",2
"3837",8.5
"3838",12.5
"3839",4
"3840",8.5
"3841",22.5
"3842",77.5
"3843",4
"3844",12.5
"3845",2
"3846",82.5
"3847",2
"3848",8.5
"3849",47.5
"3850",17.5
"3851",6
"3852",22.5
"3853",0.5
"3854",2
"3855",22.5
"3856",4
"3857",4
"3858",17.5
"3859",42.5
"3860",6
"3861",8.5
"3862",2
"3863",6
"3864",27.5
"3865",17.5
"3866",2
"3867",0.5
"3868",0.5
"3869",17.5
"3870",12.5
"3871",2
"3872",32.5
"3873",6
"3874",2
"3875",12.5
"3876",2
"3877",17.5
"3878",4
"3879",6
"3880",6
"3881",4
"3882",6
"3883",8.5
"3884",17.5
"3885",12.5
"3886",2
"3887",8.5
"3888",8.5
"3889",22.5
"3890",2
"3891",6
"3892",32.5
"3893",2
"3894",22.5
"3895",2
"3896",2
"3897",2
"3898",12.5
"3899",32.5
"3900",4
"3901",32.5
"3902",8.5
"3903",4
"3904",2
"3905",8.5
"3906",17.5
"3907",4
"3908",0.5
"3909",8.5
"3910",4
"3911",2
"3912",0.5
"3913",12.5
"3914",12.5
"3915",4
"3916",8.5
"3917",8.5
"3918",17.5
"3919",6
"3920",2
"3921",2
"3922",4
"3923",12.5
"3924",8.5
"3925",12.5
"3926",8.5
"3927",12.5
"3928",17.5
"3929",2
"3930",52.5
"3931",17.5
"3932",4
"3933",4
"3934",17.5
"3935",2
"3936",12.5
"3937",12.5
"3938",0.5
"3939",6
"3940",2
"3941",32.5
"3942",2
"3943",22.5
"3944",27.5
"3945",0.5
"3946",6
"3947",17.5
"3948",2
"3949",2
"3950",0.5
"3951",12.5
"3952",2
"3953",17.5
"3954",12.5
"3955",17.5
"3956",8.5
"3957",2
"3958",32.5
"3959",8.5
"3960",27.5
"3961",12.5
"3962",4
"3963",2
"3964",12.5
"3965",8.5
"3966",2
"3967",6
"3968",17.5
"3969",17.5
"3970",4
"3971",12.5
"3972",17.5
"3973",4
"3974",22.5
"3975",8.5
"3976",2
"3977",2
"3978",12.5
"3979",17.5
"3980",8.5
"3981",12.5
"3982",12.5
"3983",6
"3984",4
"3985",17.5
